仿真时间,探测时戳,批号,目标真实ID,雷达传感器ID,搭载实体ID,目标类型,目标位置_经,目标位置_纬,目标位置_高,目标速度_X,目标速度_Y,目标速度_Z,目标高度,目标航向,航迹状态,航迹质量,属性,机型,架次,航班
11.95,11.95,1001,817,13030,13030,3,124.1133505,-29.44843628,44432.79586,174.8570433,75.84334416,63.43610005,5629.332545,0,1,0,,不明,1,1
11.95,11.95,1001,817,13037,13037,3,124.1135643,-29.44857261,44386.48149,174.8570433,75.84334416,63.43610005,5569.251956,0,1,0,,不明,1,1
12.3,12.3,1002,793,13128,13128,3,122.2534759,-28.24586587,64218.63605,-98.45977996,-132.6202532,117.9885839,3947.192694,0,1,0,,不明,1,1
12.35,12.35,1001,817,13065,13065,3,124.1128745,-29.44812646,44784.97191,178.8158827,77.55802347,64.8705994,6007.537755,0,1,0,,不明,1,1
12.35,12.35,1003,781,13128,13128,3,122.5129966,-28.41645327,78258.29777,-8.359950629,-125.564683,169.7757118,4882.006229,0,1,0,,不明,1,1
13.05,13.05,1003,781,13135,13135,3,122.5143284,-28.41737276,76438.45986,-8.676730845,-130.3639343,176.2571135,3076.151282,0,1,0,,不明,1,1
13.05,13.05,1003,781,13142,13142,3,122.5141474,-28.41720863,78271.32914,-8.676730845,-130.3639343,176.2571135,4895.932304,0,1,0,,不明,1,1
13.1,13.1,1002,793,13142,13142,3,122.2544279,-28.24648125,64765.2477,-102.7114375,-138.3546674,123.0841402,4509.826882,0,1,0,,不明,1,1
13.1,13.1,1004,799,13142,13142,3,122.8083537,-28.60916515,100892.5788,80.57638834,-60.90197334,186.9048657,4809.91956,0,1,0,,不明,1,1
13.1,13.1,1002,793,13135,13135,3,122.2550066,-28.2469172,62595.65041,-102.7114375,-138.3546674,123.0841402,2325.739091,0,1,0,,不明,1,1
13.1,13.1,1004,799,13135,13135,3,122.8080104,-28.60895575,100305.2783,80.57638834,-60.90197334,186.9048657,4262.452241,0,1,0,,不明,1,1
13.15,13.15,1003,781,13023,13023,3,122.5140025,-28.41711411,78245.18779,-8.721611261,-131.0442988,177.17587,4892.961412,0,1,0,,不明,1,1
13.2,13.2,1002,793,13023,13023,3,122.2542907,-28.2463913,64738.35515,-103.2383678,-139.0654386,123.7156653,4507.609565,0,1,0,,不明,1,1
13.2,13.2,1004,799,13023,13023,3,122.80726,-28.60845464,100784.1809,80.99222737,-61.21655078,187.8683217,4800.352911,0,1,0,,不明,1,1
13.5,13.5,1005,805,12938,12938,3,124.3357423,-29.58842013,51907.64601,188.8696248,100.8414671,41.6775931,5804.579901,0,1,0,,不明,1,1
13.5,13.5,1005,805,12931,12931,3,124.3359005,-29.5885191,51927.49783,188.8696248,100.8414671,41.6775931,5808.182611,0,1,0,,不明,1,1
13.6,13.6,1001,817,12938,12938,3,124.1100764,-29.44636212,44621.65089,191.0379641,82.85057647,69.2984991,6006.703446,0,1,0,,不明,1,1
13.6,13.6,1001,817,12931,12931,3,124.1097219,-29.44613922,44575.71872,191.0379641,82.85057647,69.2984991,5998.273535,0,1,0,,不明,1,1
13.65,13.65,1004,799,13044,13044,3,122.8082915,-28.60918394,98485.3316,82.853854,-62.62490877,192.1812766,2486.868918,0,1,0,,不明,1,1
13.7,13.7,1004,799,13030,13030,3,122.8083297,-28.60920867,98490.73933,83.05971342,-62.78065158,192.6581803,2489.751762,0,1,0,,不明,1,1
13.7,13.7,1004,799,13037,13037,3,122.8082863,-28.60918041,98490.98191,83.05971342,-62.78065158,192.6581803,2491.620627,0,1,0,,不明,1,1
13.7,13.7,1003,781,13044,13044,3,122.5150235,-28.41786663,74925.08732,-8.966730186,-134.7621055,182.1960001,1590.871316,0,1,0,,不明,1,1
13.75,13.75,1003,781,13030,13030,3,122.5150702,-28.41789722,74926.46961,-8.988866949,-135.0980257,182.6495609,1594.094885,0,1,0,,不明,1,1
13.75,13.75,1003,781,13037,13037,3,122.515054,-28.41788648,74931.48753,-8.988866949,-135.0980257,182.6495609,1597.068063,0,1,0,,不明,1,1
13.9,13.9,1002,793,13044,13044,3,122.2565345,-28.24795463,61462.35546,-106.8976585,-144.0019012,128.1013578,1158.054225,0,1,0,,不明,1,1
13.95,13.95,1002,793,13030,13030,3,122.2565971,-28.24799588,61466.08962,-107.1570448,-144.3518516,128.4122373,1163.922714,0,1,0,,不明,1,1
13.95,13.95,1002,793,13037,13037,3,122.2565732,-28.24798,61470.21811,-107.1570448,-144.3518516,128.4122373,1170.224418,0,1,0,,不明,1,1
13.95,13.95,1004,799,13065,13065,3,122.8078745,-28.60885507,100795.0164,84.08599844,-63.55710507,195.0356459,4818.129822,0,1,0,,不明,1,1
13.95,13.95,1003,781,13086,13086,3,122.5144641,-28.41741928,78161.11715,-9.077165416,-136.4382114,184.4590339,4884.974413,0,1,0,,不明,1,1
14,14,1003,781,13058,13058,3,122.5145212,-28.41745684,78158.79505,-9.099177527,-136.7723788,184.9102026,4883.582037,0,1,0,,不明,1,1
14.05,14.05,1003,781,13065,13065,3,122.5146075,-28.41751345,78162.47244,-9.121164495,-137.1061925,185.3608885,4884.68921,0,1,0,,不明,1,1
14.1,14.1,1002,793,13079,13079,3,122.25618,-28.24763867,64768.09435,-107.9335823,-145.3995418,129.3429344,4515.230241,0,1,0,,不明,1,1
14.1,14.1,1002,793,13086,13086,3,122.2561588,-28.24762484,64762.20336,-107.9335823,-145.3995418,129.3429344,4513.347859,0,1,0,,不明,1,1
14.15,14.15,1002,793,13058,13058,3,122.2563183,-28.24772976,64779.539,-108.1918852,-145.7480481,129.6525167,4516.807176,0,1,0,,不明,1,1
14.25,14.25,1002,793,13065,13065,3,122.2564115,-28.2477918,64760.75021,-108.7076719,-146.4439693,130.2707008,4513.940791,0,1,0,,不明,1,1
21.95,21.95,1001,817,13030,13030,3,124.0888902,-29.43301251,42865.08172,261.1996845,113.181981,94.68138144,5545.336313,0,1,0,,不明,1,1
21.95,21.95,1001,817,13037,13037,3,124.089372,-29.43331795,42835.42358,261.1996845,113.181981,94.68138144,5486.424075,0,1,0,,不明,1,1
22.25,22.25,1002,793,13128,13128,3,122.2726209,-28.25851216,64188.77452,-145.4601678,-196.0926876,174.324403,4020.304057,0,1,0,,不明,1,1
22.35,22.35,1001,817,13065,13065,3,124.0876813,-29.43223814,43250.47423,261.2024451,113.1778865,94.67865995,5995.003876,0,1,0,,不明,1,1
23,23,1003,781,13135,13135,3,122.5240944,-28.4238069,75538.71481,-11.80326159,-178.3453238,240.9432058,3076.401986,0,1,0,,不明,1,1
23.05,23.05,1003,781,13142,13142,3,122.5232174,-28.42319161,77138.95855,-11.80292044,-178.3458309,240.9428472,4729.50242,0,1,0,,不明,1,1
23.05,23.05,1002,793,13135,13135,3,122.2751809,-28.26024291,62560.90831,-145.4548287,-196.1012167,174.3192634,2358.502243,0,1,0,,不明,1,1
23.1,23.1,1004,799,13135,13135,3,122.8038872,-28.60630499,98761.40005,113.8414993,-86.09228986,263.8716178,4211.216824,0,1,0,,不明,1,1
23.1,23.1,1002,793,13142,13142,3,122.2741344,-28.2594999,64661.91031,-145.454495,-196.1017498,174.3189422,4519.514695,0,1,0,,不明,1,1
23.1,23.1,1004,799,13142,13142,3,122.8030141,-28.60572242,99295.65057,113.8414993,-86.09228986,263.8716178,4804.008837,0,1,0,,不明,1,1
23.15,23.15,1003,781,13023,13023,3,122.5238816,-28.42362679,77173.67405,-11.80223814,-178.346845,240.94213,4732.375241,0,1,0,,不明,1,1
23.2,23.2,1002,793,13023,13023,3,122.2742831,-28.25959835,64651.97674,-145.4538276,-196.1028159,174.3182997,4518.981,0,1,0,,不明,1,1
23.2,23.2,1004,799,13023,13023,3,122.8038788,-28.60628478,99359.64699,113.8421837,-86.09335115,263.8709762,4812.453424,0,1,0,,不明,1,1
23.5,23.5,1005,805,12931,12931,3,124.3087435,-29.57147944,50486.79993,259.8274384,138.6031728,57.26135453,5796.245484,0,1,0,,不明,1,1
23.5,23.5,1005,805,12938,12938,3,124.3090412,-29.57166575,50523.68283,259.8274384,138.6031728,57.26135453,5803.24192,0,1,0,,不明,1,1
23.6,23.6,1001,817,12931,12931,3,124.0842034,-29.43004409,43037.17843,261.2110716,113.165091,94.67015507,5998.645851,0,1,0,,不明,1,1
23.6,23.6,1001,817,12938,12938,3,124.08412,-29.42999161,43027.23141,261.2110716,113.165091,94.67015507,5997.097497,0,1,0,,不明,1,1
23.65,23.65,1004,799,13030,13030,3,122.803946,-28.6063893,96897.6415,113.8452634,-86.09812696,263.8680893,2430.197262,0,1,0,,不明,1,1
23.65,23.65,1004,799,13044,13044,3,122.8039299,-28.60637894,96892.12947,113.8452634,-86.09812696,263.8680893,2427.689988,0,1,0,,不明,1,1
23.7,23.7,1003,781,13030,13030,3,122.524797,-28.42430721,73960.34652,-11.79848546,-178.3524225,240.9381852,1568.319089,0,1,0,,不明,1,1
23.7,23.7,1003,781,13044,13044,3,122.524802,-28.42431051,73957.13605,-11.79848546,-178.3524225,240.9381852,1565.605097,0,1,0,,不明,1,1
23.7,23.7,1004,799,13037,13037,3,122.8038909,-28.60635371,96885.32493,113.8456056,-86.0986576,263.8677685,2431.185285,0,1,0,,不明,1,1
23.75,23.75,1003,781,13037,13037,3,122.5248124,-28.42431746,73954.71436,-11.7981443,-178.3529295,240.9378266,1570.330005,0,1,0,,不明,1,1
23.9,23.9,1002,793,13030,13030,3,122.2770585,-28.26151222,61367.58677,-145.4491558,-196.1102786,174.3138024,1161.134253,0,1,0,,不明,1,1
23.9,23.9,1002,793,13044,13044,3,122.2770465,-28.26150453,61358.91474,-145.4491558,-196.1102786,174.3138024,1155.686692,0,1,0,,不明,1,1
23.9,23.9,1002,793,13037,13037,3,122.2770687,-28.26151878,61375.56209,-145.4491558,-196.1102786,174.3138024,1166.865253,0,1,0,,不明,1,1
23.95,23.95,1004,799,13065,13065,3,122.8032694,-28.60589088,99216.50395,113.8473165,-86.10131081,263.8661646,4815.783373,0,1,0,,不明,1,1
23.95,23.95,1003,781,13058,13058,3,122.5245689,-28.42407994,77092.98197,-11.79677969,-178.3549576,240.9363921,4729.085397,0,1,0,,不明,1,1
23.95,23.95,1003,781,13086,13086,3,122.5243527,-28.42393899,77053.94982,-11.79677969,-178.3549576,240.9363921,4721.406261,0,1,0,,不明,1,1
24.05,24.05,1002,793,13079,13079,3,122.2767287,-28.26121241,64685.10777,-145.4481546,-196.1118777,174.3128387,4526.18333,0,1,0,,不明,1,1
24.05,24.05,1003,781,13065,13065,3,122.5244767,-28.4240207,77042.50013,-11.79609739,-178.3559717,240.9356748,4717.841975,0,1,0,,不明,1,1
24.05,24.05,1002,793,13086,13086,3,122.2767242,-28.26120945,64684.21697,-145.4481546,-196.1118777,174.3128387,4525.973077,0,1,0,,不明,1,1
24.15,24.15,1002,793,13058,13058,3,122.2771277,-28.26147489,64722.60119,-145.4474872,-196.1129438,174.3121962,4534.48581,0,1,0,,不明,1,1
24.2,24.2,1002,793,13065,13065,3,122.2770921,-28.26145224,64688.41201,-145.4471535,-196.1134769,174.3118749,4527.538026,0,1,0,,不明,1,1
31.95,31.95,1001,817,13030,13030,3,124.0604786,-29.41508569,41041.92091,261.2686729,113.0796071,94.61333409,5449.182464,0,1,0,,不明,1,1
31.95,31.95,1001,817,13037,13037,3,124.0604198,-29.41505027,40973.67936,261.2686729,113.0796071,94.61333409,5388.819987,0,1,0,,不明,1,1
32.25,32.25,1002,793,13128,13128,3,122.2957208,-28.27376239,64189.01802,-145.3934151,-196.1992816,174.260141,4109.533694,0,1,0,,不明,1,1
32.35,32.35,1001,817,13065,13065,3,124.0587821,-29.4140006,41492.2751,261.2714313,113.0755117,94.61061175,5986.106026,0,1,0,,不明,1,1
33,33,1003,781,13135,13135,3,122.5345075,-28.43066799,74487.79908,-11.73503051,-178.4467136,240.8714583,3076.064136,0,1,0,,不明,1,1
33,33,1003,781,13142,13142,3,122.534184,-28.43041927,75961.2938,-11.73503051,-178.4467136,240.8714583,4552.989524,0,1,0,,不明,1,1
33.05,33.05,1002,793,13142,13142,3,122.2974927,-28.27492133,64614.37275,-145.3880735,-196.2078072,174.2549984,4537.287779,0,1,0,,不明,1,1
33.05,33.05,1002,793,13135,13135,3,122.2981542,-28.27541032,62496.68908,-145.3880735,-196.2078072,174.2549984,2396.616185,0,1,0,,不明,1,1
33.05,33.05,1004,799,13135,13135,3,122.7988798,-28.60308328,96974.77312,113.9095824,-86.19787913,263.807757,4152.751291,0,1,0,,不明,1,1
33.1,33.1,1003,781,13023,13023,3,122.534945,-28.43091761,76004.77637,-11.73434819,-178.4477273,240.8707405,4556.605968,0,1,0,,不明,1,1
33.1,33.1,1004,799,13142,13142,3,122.7982021,-28.60262622,97584.72091,113.9099245,-86.19840968,263.807436,4808.834042,0,1,0,,不明,1,1
33.15,33.15,1002,793,13023,13023,3,122.2973257,-28.27481197,64580.58773,-145.3874058,-196.2088729,174.2543556,4534.421487,0,1,0,,不明,1,1
33.15,33.15,1004,799,13023,13023,3,122.79893,-28.60309962,97642.23012,113.9102665,-86.19894023,263.8071149,4815.715773,0,1,0,,不明,1,1
33.45,33.45,1006,811,12931,12931,3,124.4947012,-29.68794476,59856.14598,260.5798498,118.391098,89.89821898,6188.082849,0,1,0,,不明,1,1
33.5,33.5,1005,805,12938,12938,3,124.27891,-29.55274631,48945.60956,259.8968248,138.5011335,57.19332561,5796.257562,0,1,0,,不明,1,1
33.5,33.5,1005,805,12931,12931,3,124.2789714,-29.55278475,48952.64144,259.8968248,138.5011335,57.19332561,5797.354078,0,1,0,,不明,1,1
